batsman,total_runs,balls_faced,matches_batted,innings,fours,sixes,dot_balls,dismissals,strike_rate,batting_average,boundary_rate,dot_ball_pct,runs_per_match,sr_powerplay,sr_middle,sr_death,fifties,hundreds
DJ Bravo,1560,1196,110,1204,120,66,452,69,130.43,22.61,15.55,37.79,14.18,98.68,97.92,190.02,5,0
TM Head,1556,942,52,945,172,78,348,48,165.18,32.42,26.54,36.94,29.92,172.46,143.22,195.83,10,1
NV Ojha,1554,1308,94,1313,121,79,599,74,118.81,21.0,15.29,45.8,16.53,99.63,127.74,144.24,6,0
DJ Hooda,1497,1170,101,1175,98,62,389,81,127.95,18.48,13.68,33.25,14.82,94.47,130.83,150.21,8,0
SS Tiwary,1494,1235,73,1244,111,50,428,49,120.97,30.49,13.04,34.66,20.47,109.63,114.12,151.59,8,0
S Badrinath,1441,1208,65,1212,154,28,458,48,119.29,30.02,15.07,37.91,22.17,82.17,123.23,163.68,11,0
EJG Morgan,1406,1147,74,1148,112,64,478,61,122.58,23.05,15.34,41.67,19.0,93.36,117.2,168.33,5,0
BJ Hodge,1400,1112,63,1118,122,43,399,46,125.9,30.43,14.84,35.88,22.22,92.57,116.16,169.76,6,0
RK Singh,1398,968,62,974,115,67,326,43,144.42,32.51,18.8,33.68,22.55,127.27,114.36,190.64,6,0
SC Ganguly,1349,1257,56,1263,137,42,594,54,107.32,24.98,14.24,47.26,24.09,97.7,109.78,175.38,7,0
CA Lynn,1329,941,42,945,132,66,387,39,141.23,34.08,21.04,41.13,31.64,144.39,135.46,136.36,10,0
DJ Hussey,1322,1070,61,1075,90,60,397,48,123.55,27.54,14.02,37.1,21.67,103.73,116.6,177.56,5,0
R Tewatia,1302,954,91,958,110,62,351,56,136.48,23.25,18.03,36.79,14.31,81.25,103.07,169.92,2,0
PD Salt,1258,729,40,733,138,67,267,38,172.57,33.11,28.12,36.63,31.45,168.92,179.5,218.18,12,0
V Shankar,1233,952,63,954,88,48,308,46,129.52,26.8,14.29,32.35,19.57,91.72,121.2,172.84,7,0
KM Jadhav,1208,969,81,981,102,40,341,54,124.66,22.37,14.65,35.19,14.91,88.43,121.41,143.38,4,0
Dhruv Jurel,1195,793,51,793,98,62,253,38,150.69,31.45,20.18,31.9,23.43,153.54,137.53,171.98,10,0
A Badoni,1178,852,56,853,96,47,283,46,138.26,25.61,16.78,33.22,21.04,119.47,122.62,170.14,7,0
MM Ali,1167,834,59,837,95,67,328,50,139.93,23.34,19.42,39.33,19.78,122.08,140.08,176.52,6,0
TM Dilshan,1153,1001,50,1007,140,24,451,41,115.18,28.12,16.38,45.05,23.06,108.15,108.5,188.37,9,0
TH David,1151,665,59,667,76,83,210,35,173.08,32.89,23.91,31.58,19.51,,139.93,197.64,2,0
IK Pathan,1150,947,82,950,88,38,336,52,121.44,22.12,13.31,35.48,14.02,113.79,96.83,158.15,1,0
ML Hayden,1107,799,32,806,121,44,332,27,138.55,41.0,20.65,41.55,34.59,133.2,141.43,200.0,8,0
JM Sharma,1107,732,59,734,86,68,275,48,151.23,23.06,21.04,37.57,18.76,84.62,142.83,180.09,1,0
M Vohra,1083,828,51,829,104,43,358,48,130.8,22.56,17.75,43.24,21.24,124.75,142.31,200.0,3,0
DP Conway,1080,776,28,779,117,34,271,25,139.18,43.2,19.46,34.92,38.57,124.15,156.29,154.17,11,0
LMP Simmons,1079,848,29,852,109,44,372,27,127.24,39.96,18.04,43.87,37.21,118.47,141.4,128.0,11,1
LS Livingstone,1066,687,49,694,70,76,249,41,155.17,26.0,21.25,36.24,21.76,130.32,145.74,219.01,7,0
C Green,1029,687,42,690,84,49,210,29,149.78,35.48,19.36,30.57,24.5,142.86,146.67,170.4,4,1
V Suryavanshi,1028,473,23,473,81,96,178,23,217.34,44.7,37.42,37.63,44.7,213.83,219.74,290.0,6,2
LRPL Taylor,1017,818,54,822,66,46,307,41,124.33,24.8,13.69,37.53,18.83,126.45,113.07,165.93,3,0
KP Pietersen,1001,742,36,743,91,40,275,28,134.91,35.75,17.65,37.06,27.81,130.19,129.14,200.0,4,1
MC Henriques,1000,785,54,788,87,28,269,38,127.39,26.32,14.65,34.27,18.52,123.76,110.05,175.76,5,0
SM Curran,997,731,53,735,85,41,256,41,136.39,24.32,17.24,35.02,18.81,110.06,121.07,186.8,6,0
T Stubbs,986,660,43,661,69,47,173,23,149.39,42.87,17.58,26.21,22.93,106.82,118.13,201.98,5,0
Y Venugopal Rao,985,832,52,836,77,37,324,42,118.39,23.45,13.7,38.94,18.94,82.64,111.67,157.87,3,0
JA Morkel,975,683,67,687,61,55,226,40,142.75,24.38,16.98,33.09,14.55,121.74,120.13,164.55,3,0
A Symonds,974,745,36,750,74,41,273,26,130.74,37.46,15.44,36.64,27.06,104.58,126.69,168.31,5,1
CL White,971,757,45,760,76,38,260,35,128.27,27.74,15.06,34.35,21.58,89.17,121.24,191.22,6,0
BA Stokes,935,695,43,698,81,32,231,41,134.53,22.8,16.26,33.24,21.74,129.13,133.91,150.59,2,2
Priyansh Arya,909,491,31,491,87,63,185,31,185.13,29.32,30.55,37.68,29.32,181.77,195.76,,6,1
Shashank Singh,905,578,42,578,67,51,173,24,156.57,37.71,20.42,29.93,21.55,137.14,126.8,193.65,6,0
Washington Sundar,888,672,59,673,82,28,226,42,132.14,21.14,16.37,33.63,15.05,115.09,112.46,160.22,3,0
HH Gibbs,886,805,36,807,83,31,378,32,110.06,27.69,14.16,46.96,24.61,103.93,112.54,174.29,6,0
A Raghuvanshi,885,624,30,624,86,35,208,25,141.83,35.4,19.39,33.33,29.5,138.68,138.84,161.18,7,0
STR Binny,880,682,66,683,66,35,251,44,129.03,20.0,14.81,36.8,13.33,69.39,120.57,160.0,0,0
Abdul Samad,859,584,58,587,55,55,207,47,147.09,18.28,18.84,35.45,14.81,120.0,121.62,174.2,0,0
RD Rickelton,836,513,26,513,78,55,207,24,162.96,34.83,25.93,40.35,32.15,158.29,173.15,171.43,5,1
R Ashwin,833,704,93,705,64,29,257,62,118.32,13.44,13.21,36.51,8.96,102.38,106.19,134.5,1,0
Harbhajan Singh,833,599,88,604,79,42,251,56,139.07,14.88,20.2,41.9,9.47,114.06,106.55,158.31,1,0
MS Bisla,798,700,39,702,93,23,339,37,114.0,21.57,16.57,48.43,20.46,106.33,128.11,160.0,4,0
Shakib Al Hasan,795,635,52,639,73,21,212,39,125.2,20.38,14.8,33.39,15.29,88.46,118.45,150.55,2,0
Nithish Kumar Reddy,787,557,35,557,50,46,188,28,141.29,28.11,17.24,33.75,22.49,88.46,142.22,184.87,3,0
N Wadhera,784,572,37,572,64,43,223,32,137.06,24.5,18.71,38.99,21.19,107.94,138.71,152.0,4,0
M Shahrukh Khan,775,529,53,529,49,52,190,33,146.5,23.48,19.09,35.92,14.62,112.12,132.41,171.84,2,0
Abishek Porel,769,539,33,540,80,28,188,32,142.67,24.03,20.04,34.88,23.3,141.38,135.91,206.9,4,0
ST Jayasuriya,768,529,30,532,84,39,251,29,145.18,26.48,23.25,47.45,25.6,139.85,160.74,,4,1
SN Khan,746,544,43,548,86,20,194,36,137.13,20.72,19.49,35.66,17.35,137.78,110.61,184.83,2,0
GC Smith,739,664,29,668,94,9,295,30,111.3,24.63,15.51,44.43,25.48,95.59,137.91,163.64,4,0
AD Mathews,724,573,41,575,44,29,183,31,126.35,23.35,12.74,31.94,17.66,68.75,114.46,154.07,1,0
Naman Dhir,710,438,33,439,68,36,138,26,162.1,27.31,23.74,31.51,21.52,144.54,147.93,192.0,3,0
TL Suman,676,573,39,575,55,26,241,30,117.98,22.53,14.14,42.06,17.33,102.5,125.0,131.51,2,0
AM Nayar,672,573,50,577,55,20,223,39,117.28,17.23,13.09,38.92,13.44,84.04,108.53,161.15,0,0
GJ Bailey,663,541,36,544,59,19,198,29,122.55,22.86,14.42,36.6,18.42,99.38,95.13,187.58,2,0
E Lewis,654,477,26,477,62,36,212,24,137.11,27.25,20.55,44.44,25.15,140.26,128.57,160.0,4,0
PJ Cummins,642,420,51,422,40,44,163,36,152.86,17.83,20.0,38.81,12.59,20.0,147.25,160.09,3,0
Rashid Khan,635,408,72,414,45,43,166,47,155.64,13.51,21.57,40.69,8.82,,121.15,167.43,1,0
PP Chawla,624,561,86,563,56,20,245,57,111.23,10.95,13.55,43.67,7.26,114.29,91.52,124.77,0,0
CH Morris,618,397,49,398,41,35,119,29,155.67,21.31,19.14,29.97,12.61,211.11,113.6,173.76,2,0
JJ Roy,614,441,21,443,75,21,178,18,139.23,34.11,21.77,40.36,29.24,131.17,155.75,170.0,4,0
D Brevis,606,428,24,428,38,43,170,24,141.59,25.25,18.93,39.72,25.25,108.7,142.18,209.52,2,0
JD Ryder,604,455,29,458,69,19,191,29,132.75,20.83,19.34,41.98,20.83,132.28,131.46,147.37,4,0
Shahbaz Ahmed,603,487,40,489,33,28,168,30,123.82,20.1,12.53,34.5,15.08,80.56,108.07,160.24,1,0
WG Jacks,602,382,26,383,50,38,136,21,157.59,28.67,23.04,35.6,23.15,148.84,160.11,204.55,2,1
HM Amla,577,406,16,407,60,21,139,13,142.12,44.38,19.95,34.24,36.06,124.89,150.35,213.16,3,2
Ashutosh Sharma,564,348,26,351,39,40,123,20,162.07,28.2,22.7,35.34,21.69,,130.4,179.82,2,0
R Powell,555,399,30,399,38,38,167,25,139.1,22.2,19.05,41.85,18.5,115.38,111.57,187.5,1,0
JP Inglis,544,328,16,328,58,28,119,15,165.85,36.27,26.22,36.28,34.0,189.51,144.06,134.78,4,0
CJ Anderson,538,421,29,423,40,31,185,22,127.79,24.45,16.86,43.94,18.55,79.27,123.97,197.22,3,0
RS Bopara,531,453,22,453,39,16,160,19,117.22,27.95,12.14,35.32,24.14,94.44,118.31,161.54,3,0
MK Lomror,527,372,35,373,33,30,120,29,141.67,18.17,16.94,32.26,15.06,80.85,156.48,138.53,1,0
JP Faulkner,527,385,45,390,36,23,127,28,136.88,18.82,15.32,32.99,11.71,70.0,93.94,166.95,0,0
SE Rutherford,520,390,27,390,30,38,166,23,133.33,22.61,17.44,42.56,19.26,26.32,131.03,148.21,1,0
M Manhas,514,470,38,470,43,10,181,24,109.36,21.42,11.28,38.51,13.53,86.11,99.6,136.91,0,0
Gurkeerat Singh,511,422,32,422,55,11,156,27,121.09,18.93,15.64,36.97,15.97,90.57,107.38,160.8,2,0
OA Shah,506,388,22,389,34,23,133,13,130.41,38.92,14.69,34.28,23.0,107.14,120.7,151.88,4,0
PC Valthaty,505,414,23,418,61,20,215,22,121.98,22.95,19.57,51.93,21.96,109.76,146.15,207.69,2,1
SW Billings,503,385,27,388,40,20,139,26,130.65,19.35,15.58,36.1,18.63,125.64,126.13,165.22,3,0
C Connolly,491,316,13,316,43,32,125,11,155.38,44.64,23.73,39.56,37.77,126.85,153.85,241.03,2,1
RR Rossouw,473,306,22,308,45,25,115,21,154.58,22.52,22.88,37.58,21.5,130.43,161.82,215.38,2,0
DT Christian,460,394,41,398,23,19,134,28,116.75,16.43,10.66,34.01,11.22,35.71,100.52,139.57,0,0
A Mhatre,441,250,13,250,51,23,89,12,176.4,36.75,29.6,35.6,33.92,179.74,180.46,90.0,3,0
Sameer Rizvi,424,304,18,304,30,26,119,14,139.47,30.29,18.42,39.14,23.56,56.25,134.78,195.38,3,0
NLTC Perera,424,306,30,309,23,26,112,24,138.56,17.67,16.01,36.6,14.13,137.5,116.15,166.67,0,0
SA Asnodkar,423,337,19,339,56,10,149,19,125.52,22.26,19.58,44.21,22.26,128.21,119.42,,2,0
JR Hopes,417,305,19,306,49,11,111,17,136.72,24.53,19.67,36.39,21.95,126.0,148.31,143.24,4,0
R Ravindra,413,289,18,290,40,16,99,16,142.91,25.81,19.38,34.26,22.94,136.19,147.14,266.67,2,0
J Botha,409,358,28,359,39,5,133,22,114.25,18.59,12.29,37.15,14.61,80.28,114.81,137.76,1,0
LR Shukla,405,350,33,350,33,16,144,29,115.71,13.97,14.0,41.14,12.27,58.33,100.97,144.27,0,0
AL Menaria,401,354,23,356,24,18,140,22,113.28,18.23,11.86,39.55,17.43,88.0,111.52,131.67,0,0
MV Boucher,394,307,23,309,32,13,107,15,128.34,26.27,14.66,34.85,17.13,93.1,110.59,165.74,1,0
CA Pujara,390,390,22,391,50,4,187,18,100.0,21.67,13.85,47.95,17.73,93.78,103.33,137.93,1,0
Azhar Mahmood,388,303,21,303,39,13,116,19,128.05,20.42,17.16,38.28,18.48,90.91,126.57,152.38,2,0
J Fraser-McGurk,385,192,15,194,39,30,83,14,200.52,27.5,35.94,43.23,25.67,213.16,152.5,,4,0
A Mishra,381,417,55,419,31,5,177,30,91.37,12.7,8.63,42.45,6.93,83.33,68.37,113.4,0,0
KR Mayers,379,258,13,263,38,22,124,13,146.9,29.15,23.26,48.06,29.15,141.98,169.57,,4,0
DB Ravi Teja,375,315,25,317,35,9,116,20,119.05,18.75,13.97,36.83,15.0,94.2,118.24,140.23,1,0
S Sohal,368,289,20,292,34,18,136,18,127.34,20.44,17.99,47.06,18.4,128.45,137.5,44.44,2,0
P Negi,365,288,35,289,27,16,112,26,126.74,14.04,14.93,38.89,10.43,62.5,108.94,143.95,0,0
Rahmanullah Gurbaz,363,270,18,271,34,22,134,17,134.44,21.35,20.74,49.63,20.17,127.88,156.45,,2,0
B Kumar,354,379,75,380,34,4,175,37,93.4,9.57,10.03,46.17,4.72,,67.07,100.67,0,0
KV Sharma,352,295,40,295,20,17,113,25,119.32,14.08,12.54,38.31,8.8,71.43,95.0,141.61,0,0
DJ Mitchell,351,267,15,267,28,10,75,13,131.46,27.0,14.23,28.09,23.4,137.76,127.14,131.03,2,0
SN Thakur,349,268,43,269,32,13,101,28,130.22,12.46,16.79,37.69,8.12,0.0,128.7,134.9,1,0
FH Allen,349,168,11,168,33,28,63,11,207.74,31.73,36.31,37.5,31.73,175.42,284.0,,1,1
R Bhatia,342,284,47,284,24,13,104,29,120.42,11.79,13.03,36.62,7.28,100.0,82.35,155.78,0,0
P Kumar,340,312,57,314,22,17,148,34,108.97,10.0,12.5,47.44,5.96,75.0,100.0,112.45,0,0
AP Tare,339,272,27,273,40,11,129,24,124.63,14.12,18.75,47.43,12.56,114.62,158.97,161.9,1,0
JEC Franklin,327,300,16,301,25,9,115,11,109.0,29.73,11.33,38.33,20.44,84.31,110.88,152.94,1,0
JC Archer,326,224,40,228,18,22,84,24,145.54,13.58,17.86,37.5,8.15,0.0,114.52,161.39,0,0
D Ferreira,326,195,16,195,26,23,75,12,167.18,27.17,25.13,38.46,20.38,116.67,137.78,202.15,2,0
RN ten Doeschate,326,235,21,235,26,15,77,17,138.72,19.18,17.45,32.77,15.52,85.71,110.0,173.87,1,0
JO Holder,324,264,34,266,16,21,111,26,122.73,12.46,14.02,42.05,9.53,54.17,125.88,131.61,0,0
Anuj Rawat,318,267,21,267,26,14,114,14,119.1,22.71,14.98,42.7,15.14,97.92,93.27,189.55,1,0
Aniket Verma,315,205,20,205,18,25,81,15,153.66,21.0,20.98,39.51,15.75,100.0,142.2,181.01,1,0
R Vinay Kumar,310,274,42,274,21,9,103,26,113.14,11.92,10.95,37.59,7.38,,91.03,121.94,0,0
Lalit Yadav,305,285,21,290,27,7,116,15,107.02,20.33,11.93,40.7,14.52,70.45,109.6,125.0,0,0
DB Das,304,260,22,261,23,16,117,12,116.92,25.33,15.0,45.0,13.82,115.79,108.2,130.86,0,0
C de Grandhomme,303,224,21,225,18,18,82,15,135.27,20.2,16.07,36.61,14.43,11.11,141.88,138.78,0,0
LA Pomersbach,302,243,16,246,25,13,102,11,124.28,27.45,15.64,41.98,18.88,133.33,104.1,173.53,1,0
UBT Chand,300,299,20,300,32,9,155,20,100.33,15.0,13.71,51.84,15.0,94.8,109.32,87.5,1,0
Ramandeep Singh,299,206,26,208,17,19,71,16,145.15,18.69,17.48,34.47,11.5,80.0,115.93,186.36,0,0
Kartik Sharma,295,220,11,220,24,16,88,9,134.09,32.78,18.18,40.0,26.82,134.78,123.03,171.11,2,0
DJG Sammy,295,241,20,241,15,18,98,15,122.41,19.67,13.69,40.66,14.75,155.56,105.62,155.56,1,0
SP Goswami,293,293,21,295,32,3,131,20,100.0,14.65,11.95,44.71,13.95,97.3,108.51,78.57,1,0
A Manohar,292,236,20,236,23,14,92,19,123.73,15.37,15.68,38.98,14.6,66.67,110.61,166.23,0,0
Y Nagar,285,259,20,259,20,9,101,15,110.04,19.0,11.2,39.0,14.25,45.45,90.34,144.66,0,0
GH Vihari,284,319,23,321,23,1,136,20,89.03,14.2,7.52,42.63,12.35,71.03,95.62,105.77,0,0
VVS Laxman,282,266,20,267,33,5,119,16,106.02,17.62,14.29,44.74,14.1,100.0,130.0,50.0,1,0
HV Patel,280,239,44,239,18,15,101,29,117.15,9.66,13.81,42.26,6.36,,95.6,130.41,0,0
B Chipli,280,250,21,251,28,7,104,16,112.0,17.5,14.0,41.6,13.33,77.65,112.4,177.27,1,0
A Ashish Reddy,280,193,23,193,16,15,58,15,145.08,18.67,16.06,30.05,12.17,83.33,138.33,151.18,0,0
MJ Lumb,278,191,12,194,45,6,89,10,145.55,27.8,26.7,46.6,23.17,147.62,130.43,,1,0
P Nissanka,278,180,10,180,33,12,71,10,154.44,27.8,25.0,39.44,27.8,164.34,116.22,,2,0
PBB Rajapaksa,277,190,13,191,22,15,70,12,145.79,23.08,19.47,36.84,21.31,158.11,141.07,50.0,1,0
PK Garg,273,238,19,241,16,9,86,19,114.71,14.37,10.5,36.13,14.37,98.31,107.38,183.33,1,0
MJ Guptill,271,196,13,197,24,15,88,12,138.27,22.58,19.9,44.9,20.85,138.46,137.04,,1,0
R Sathish,270,230,24,231,22,6,87,16,117.39,16.88,12.17,37.83,11.25,0.0,102.42,144.44,0,0
